round_num,auc,auc_std,optimal_youden_index,optimal_youden_index_std,assay_source,model,llr_auc,num_positive,num_negative
10,0.5499350781836297,0.017433475873132324,326.8,111.85347558301441,SRC,LOF_10%,0.7899329512528412,3273.0,364.0
11,0.5558241218568816,0.02294492605166712,357.2,57.490868840190615,SRC,LOF_10%,0.7899329512528412,3273.0,364.0
1,0.5,0.0,0.0,0.0,SRC,LOF_20%,0.8017392971414973,2909.0,728.0
2,0.5143947817488963,0.007350739971773025,664.6,306.56940486617384,SRC,LOF_20%,0.8017392971414973,2909.0,728.0
3,0.5146478507395628,0.01401853882148385,506.8,271.3654362663013,SRC,LOF_20%,0.8017392971414973,2909.0,728.0
4,0.53120253095972,0.015875015509691122,598.2,288.2571768404041,SRC,LOF_20%,0.8017392971414973,2909.0,728.0
5,0.5339761492157097,0.01364360799736842,416.8,138.9629447010965,SRC,LOF_20%,0.8017392971414973,2909.0,728.0
6,0.5359948326725472,0.013883992627857705,701.2,179.29221957463744,SRC,LOF_20%,0.8017392971414973,2909.0,728.0
7,0.546537381632747,0.009323682243866862,544.2,159.81301574027066,SRC,LOF_20%,0.8017392971414973,2909.0,728.0
8,0.5449633601891718,0.015270240557908347,568.8,254.4114777285019,SRC,LOF_20%,0.8017392971414973,2909.0,728.0
9,0.5476915488554595,0.01629811002295921,483.2,228.70330124421028,SRC,LOF_20%,0.8017392971414973,2909.0,728.0
10,0.5592501396735902,0.011074711919498437,578.4,213.25759072070565,SRC,LOF_20%,0.8017392971414973,2909.0,728.0
11,0.561461603950088,0.020461700213085045,566.4,166.22514851850786,SRC,LOF_20%,0.8017392971414973,2909.0,728.0
